term,estimate,std.error,statistic,p.value,model
(Intercept),-6.149776636615476,0.48002502642076594,-12.811366695754087,1.4161804444688877e-37,binom
LocationBR,3.4290287813280513,0.23728892645341018,14.45085884360185,2.4757933333900864e-47,binom
LocationHS,-1.356823384491125,0.23186960854044353,-5.851665481440027,4.866747251908212e-9,binom
Q9abs,-65.54274940471942,3.389604624472129,-19.336399570473958,2.6536896619811543e-83,binom
Q2plus,29.830447285947074,1.1309382235152716,26.376725682880995,2.534470589724753e-153,binom
